Compounds,Super class,Main class,Sub class,Index,Class I,Class II,Q1 (Da),Molecular Weight (Da),Ionization model,Formula,cpd_ID,KEGG class,HMDB,Pubchem CID,CAS,ChEBI,FC,pvalue,vip,sign
PA(18:0_22:6),Glycerophospholipids,Glycerophosphates,PA,LIPID-N-0647,GP,PA,747.496482,748.504307,[M-H]-,C43H73O8P,C00416,Lipids,-,460605,-,-,0.777184778,0.0013744220000000001,2.318893945,Lower in MCI
Cer(d18:2/22:0),Sphingolipids,Ceramides,Cer,LIPID-P-0139,SP,Cer,620.6,619.5903440000001,[M+H]+,C40H77NO3,C00195,Lipids,-,52931123,-,-,0.799881397,0.018318711,1.822381075,Lower in MCI
Coenzyme Q10,Prenol Lipids,Quinones and hydroquinones,Ubiquinones,LIPID-P-0161,PR,CoQ,863.69147,862.68391,[M+H]+,C59H90O4,C11378,Cofactor/vitamin,HMDB0001072,5281915,303-98-0,46245,0.7436483740000001,0.023220361000000002,1.803704136,Lower in MCI
LPC(O-14:0),Glycerophospholipids,Glycerophosphocholines,O-LPC,LIPID-P-0393,GP,LPC-O,454.329725,453.32192599999996,[M+H]+,C22H48NO6P,C04230,Lipids,-,15298292,-,-,0.602475955,0.004235158,2.17661411,Lower in MCI
PC(O-16:0_14:0),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0531,GP,PC-O,692.559419,691.551591,[M+H]+,C38H78NO7P,C00157,Lipids,-,24779275,-,-,0.7657590259999999,0.012691191000000001,1.922777404,Lower in MCI
PC(O-16:0_14:1),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0536,GP,PC-O,690.543769,689.535941,[M+H]+,C38H76NO7P,C00157,Lipids,HMDB0013403,52923736,-,-,0.8214061890000001,0.012691191000000001,1.9777229330000001,Lower in MCI
PC(O-16:0_18:2),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0544,GP,PC-O,744.590719,743.582891,[M+H]+,C42H82NO7P,C00157,Lipids,HMDB0011151,6443157,88542-95-4,86231,0.7288316429999999,5.3299999999999995e-05,3.010285845,Lower in MCI
PC(O-18:0_18:2),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0545,GP,PC-O,772.622019,771.614191,[M+H]+,C44H86NO7P,C00157,Lipids,HMDB0013418,6443070,-,89895,0.741461305,0.000229294,2.6524512000000002,Lower in MCI
PC(O-16:1_18:2),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0549,GP,PC-O,742.575025,741.567241,[M+H]+,C42H80NO7P,C00157,Lipids,-,53481709,-,-,0.803996755,0.004235158,2.1828584280000003,Lower in MCI
PC(O-18:0_20:3),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0551,GP,PC-O,798.637625,797.629841,[M+H]+,C46H88NO7P,C00157,Lipids,-,52923798,-,-,0.806552609,0.046982932000000005,1.576741949,Lower in MCI
PC(O-14:0_20:4),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0553,GP,PC-O,740.559419,739.551591,[M+H]+,C42H78NO7P,C00157,Lipids,-,24779283,-,-,0.63779066,0.024602349,1.79501943,Lower in MCI
PC(O-16:1_22:6),Glycerophospholipids,Glycerophosphocholines,O-PC,LIPID-P-0568,GP,PC-O,790.575069,789.567241,[M+H]+,C46H80NO7P,C00157,Lipids,-,-,-,-,0.815069316,0.012823263,1.896470885,Lower in MCI
PE(P-16:0_18:2),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0640,GP,PE-P,700.5281160000001,699.520291,[M+H]+,C39H74NO7P,C00350,Lipids,HMDB0011343,52925127,-,84532,0.80737365,0.012691191000000001,1.9017530580000002,Lower in MCI
PE(P-18:1_18:1),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0642,GP,PE-P,728.559416,727.551591,[M+H]+,C41H78NO7P,C00350,Lipids,HMDB0009115,53479670,-,-,0.7771098820000001,0.004575559,2.100912562,Lower in MCI
PE(P-18:1_18:2),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0647,GP,PE-P,726.543766,725.535941,[M+H]+,C41H76NO7P,C00350,Lipids,HMDB0011377,52925080,-,-,0.793222117,0.006219066999999999,2.140320986,Lower in MCI
PE(P-17:0_20:3),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0648,GP,PE-P,740.559416,739.551591,[M+H]+,C42H78NO7P,C00350,Lipids,-,-,-,-,0.707740991,0.034310657,1.654416769,Lower in MCI
PE(P-18:0_20:3),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0649,GP,PE-P,754.575066,753.567241,[M+H]+,C43H80NO7P,C00350,Lipids,HMDB0011383,53480854,-,-,0.79452873,0.039524065,1.610031833,Lower in MCI
PE(P-18:1_20:4),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0658,GP,PE-P,750.543766,749.535941,[M+H]+,C43H76NO7P,C00350,Lipids,-,85366510,-,-,0.80856085,0.023220361000000002,1.752178996,Lower in MCI
PE(P-18:0_22:5),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0660,GP,PE-P,778.575066,777.567241,[M+H]+,C45H80NO7P,C00350,Lipids,HMDB0011418,53480878,-,-,0.7794272440000001,0.015336899,1.8876318669999999,Lower in MCI
PE(P-18:0_22:6),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0662,GP,PE-P,776.559416,775.551591,[M+H]+,C45H78NO7P,C00350,Lipids,HMDB0011394,42607458,-,78263,0.782801544,0.018090936000000002,1.8483554340000001,Lower in MCI
PE(P-20:0_22:6),Glycerophospholipids,Glycerophosphoethanolamines,O-PE,LIPID-P-0663,GP,PE-P,804.590716,803.582891,[M+H]+,C47H82NO7P,C00350,Lipids,-,52925125,-,-,0.8100080709999999,0.02192751,1.812565085,Lower in MCI
SM(d18:0/12:0),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0727,SP,SM,649.528451,648.520625,[M+H]+,C35H73N2O6P,C00550,Lipids,HMDB0012084,53481358,-,-,0.778884496,0.049275182,1.61135234,Lower in MCI
SM(d18:0/14:0),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0729,SP,SM,677.559751,676.551925,[M+H]+,C37H77N2O6P,C00550,Lipids,HMDB0012085,44260138,-,89482,0.787884595,0.004235158,2.151510489,Lower in MCI
SM(d18:1/14:0),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0736,SP,SM,675.544101,674.536275,[M+H]+,C37H75N2O6P,C00550,Lipids,HMDB0012097,11433862,-,64486,0.786674911,0.004235158,2.163824368,Lower in MCI
SM(d18:1/15:0),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0737,SP,SM,689.559751,688.551925,[M+H]+,C38H77N2O6P,C00550,Lipids,-,52931139,-,-,0.8316674540000001,0.016506795,1.939584196,Lower in MCI
SM(d18:1/19:0),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0741,SP,SM,745.622351,744.614525,[M+H]+,C42H85N2O6P,C00550,Lipids,-,52931171,-,-,0.8293344840000001,0.00287892,2.217536934,Lower in MCI
SM(d18:1/21:0),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0743,SP,SM,773.653651,772.645825,[M+H]+,C44H89N2O6P,C00550,Lipids,HMDB0240611,52931193,121999-71-1,-,0.7921137229999999,0.006219066999999999,2.0490553559999998,Lower in MCI
SM(d18:1/21:1),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0755,SP,SM,771.638001,770.630175,[M+H]+,C44H87N2O6P,C00550,Lipids,-,52931187,-,-,0.710561241,0.018318711,1.80889476,Lower in MCI
SM(d18:2/18:1),Sphingolipids,Phosphosphingolipids,SM,LIPID-P-0761,SP,SM,727.5754009999999,726.567575,[M+H]+,C41H79N2O6P,C00550,Lipids,-,52931155,-,-,0.832136095,0.005069485,2.062162071,Lower in MCI
