Metabolites,FC,FDR,sign
MEDP1146,0.961091437,0.602596324,non significant
MEDP1161,0.979148895,0.847524553,non significant
MEDP1165,0.961091437,0.602596324,non significant
MEDP1171,1.065835885,0.602596324,non significant
MEDP1177,1.112264595,0.643405921,non significant
MEDP1178,1.022794067,0.802163163,non significant
MEDP1194,0.991753645,0.756235335,non significant
MEDP1196,0.913682883,0.238626793,non significant
MEDP1203,0.959817751,0.501226537,non significant
MEDP1211,1.047560248,0.454739183,non significant
MEDP1212,1.019848044,0.858242373,non significant
MEDP1221,0.961313082,0.218755941,non significant
MEDP1228,0.885261961,0.1056353,non significant
MEDP1234,1.34755726,0.763859988,non significant
MEDP1242,1.04274606,0.774604413,non significant
MEDP1243,0.204671924,0.883349296,non significant
MEDP1247,0.989517006,0.662576526,non significant
MEDP1251,1.02030465,0.88327558,non significant
MEDP1272,0.955785861,0.168828527,non significant
MEDP1273,1.017307862,0.944157076,non significant
MEDP1274,1.765780438,0.024686333,Higher in AD
MEDP1298,0.981596641,0.912763053,non significant
MEDP1304,0.911346236,0.981485493,non significant
MEDP1331,0.950783433,0.745399595,non significant
MEDP1333,1.010672256,0.963818999,non significant
MEDP1343,0.986482893,0.851992086,non significant
MEDP1373,0.947003374,0.702910392,non significant
MEDP1394,1.013323229,0.810010847,non significant
MEDP1396,1.594665377,0.602805908,non significant
MEDP1400,1.217295637,0.118970767,non significant
MEDP1404,1.114131156,0.672392354,non significant
MEDP1408,1.267357092,0.527581701,non significant
MEDP1410,1.074793763,0.745399595,non significant
MEDP1415,1.371609167,0.064717294,non significant
MEDP1422,1.020886852,0.99323154,non significant
MEDP1431,0.880375777,0.358732122,non significant
MEDP1432,0.896968347,0.463782815,non significant
MEDP1433,0.994932573,0.586317695,non significant
MEDP1434,0.860077526,0.064717294,non significant
MEDP1449,0.617324944,0.001638829,Lower in AD
MEDP1450,0.617324944,0.001638829,Lower in AD
MEDP1465,0.921166736,0.070116895,non significant
MEDP1472,0.887059197,0.105230475,non significant
MEDP1479,0.415385833,0.012910183,Lower in AD
MEDP1488,1.125830546,0.037711783,Higher in AD
MEDP1490,0.898406262,0.180955387,non significant
MEDP1493,0.989684364,0.92884369,non significant
MEDP1500,1.055439199,0.5478755,non significant
MEDP1506,0.794415276,0.031876853,Lower in AD
MEDP1507,0.905303106,0.5478755,non significant
MEDP1508,0.923221799,0.044246131,Lower in AD
MEDP1511,0.972085875,0.985725666,non significant
MEDP1512,0.884423887,0.040587442,Lower in AD
MEDP1516,1.132953087,0.497683758,non significant
MEDP1604,0.951546403,0.031321409,Lower in AD
MEDP1614,1.062608054,0.291270862,non significant
MEDP1644,1.01132387,0.832668871,non significant
MEDP1654,0.989684364,0.92884369,non significant
MEDP1655,0.941346763,0.905788313,non significant
MEDP1657,0.920421722,0.073510637,non significant
MEDP1658,0.970365543,0.612150361,non significant
MEDP1659,0.961091437,0.602596324,non significant
MEDP1662,0.982077268,0.666035124,non significant
MEDP1663,1.076001086,0.147295952,non significant
MEDP1667,1.014396081,0.673964577,non significant
MEDP1686,1.005256496,0.970806707,non significant
MEDP1693,1.073646648,0.507186512,non significant
MEDP1695,0.968129507,0.575977464,non significant
MEDP1698,0.918269486,0.200245456,non significant
MEDP1705,1.068648155,0.420664409,non significant
MEDP1706,1.013669575,0.857751027,non significant
MEDP1713,1.161760584,0.029892228,Higher in AD
MEDP1717,1.020501652,0.547272782,non significant
MEDP1723,1.046162712,0.501963886,non significant
MEDP1744,1.008453913,0.694980817,non significant
MEDP1749,0.989436062,0.761132654,non significant
MEDP1750,1.018223687,0.807796099,non significant
MEDP1751,1.184561245,0.862608532,non significant
MEDP1762,1.319035656,0.778273983,non significant
MEDP1778,0.898425209,0.024686333,Lower in AD
MEDP1779,0.959484302,0.46254238,non significant
MEDP1780,0.964547058,0.614986543,non significant
MEDP1786,1.398518162,0.000956956,Higher in AD
MEDP1787,1.15152949,0.042505524,Higher in AD
MEDP1788,1.009636636,0.833675502,non significant
MEDP1799,0.954005626,0.586317695,non significant
MEDP1802,0.715617626,0.455575562,non significant
MEDP1853,0.988243488,0.568803758,non significant
MEDP1860,0.90371902,0.284723985,non significant
MEDP1871,0.911005959,0.346313862,non significant
MEDP1884,1.039394922,0.981485493,non significant
MEDP1885,0.583416217,0.008143328,Lower in AD
MEDP1897,1.264830575,0.517657893,non significant
MEDP1898,0.992037148,0.688305214,non significant
MEDP1913,1.295234195,0.955186905,non significant
MEDP1914,1.062268508,0.529542295,non significant
MEDP1915,1.104918962,0.358732122,non significant
MEDP1917,1.41162428,0.018834433,Higher in AD
MEDP1919,0.689645407,0.010102187,Lower in AD
MEDP1921,1.441929306,0.02091334,Higher in AD
MEDP1923,1.031140881,0.931893872,non significant
MEDP1928,0.760168759,0.024686333,Lower in AD
MEDP1929,1.037507306,0.931893872,non significant
MEDP1940,0.92371002,0.378052427,non significant
MEDP1942,0.834887455,0.890560665,non significant
MEDP1961,1.041701964,0.72705359,non significant
MEDP1973,0.727811025,0.420664409,non significant
MEDP1993,0.981947854,0.739269117,non significant
MEDP1996,1.013604502,0.970851775,non significant
MEDP2001,1.019932819,0.860712477,non significant
MEDP2003,1.024698245,0.662576526,non significant
MEDP2007,1.156648135,0.225187108,non significant
MEDP2017,1.014614136,0.824777083,non significant
MEDP2038,2.477277376,0.430948602,non significant
MW0001163,1.007630555,0.614986543,non significant
MW0001486,1.014922541,0.812916962,non significant
MW0001675,0.900414753,0.225541026,non significant
MW0002271,1.031210194,0.081934036,non significant
MW0002401,0.789370758,0.134384201,non significant
MW0002432,0.94308457,0.614661214,non significant
MW0002893,0.928939744,0.797538405,non significant
MW0003249,0.957665015,0.798391173,non significant
MW0003729,0.928847621,0.228622764,non significant
MW0004159,1.247842765,0.760424591,non significant
MW0006078,0.995341664,0.899234285,non significant
MW0006470,1.04125589,0.841320062,non significant
MW0006821,0.975427367,0.369221631,non significant
MW0006886,1.195269326,0.67628273,non significant
MW0007831,0.970043288,0.931893872,non significant
MW0008652,1.092364092,0.430948602,non significant
MW0009655,0.989738096,0.959943898,non significant
MW0009863,0.361151231,0.119164258,non significant
MW0010040,0.992862445,0.844584687,non significant
MW0011071,1.071508288,0.763859988,non significant
MW0011450,1.190969151,0.619169035,non significant
MW0011786,0.976699455,0.84472642,non significant
MW0011795,0.961831718,0.487333808,non significant
MW0011811,0.899869748,0.073510637,non significant
MW0011847,1.214682295,0.988333855,non significant
MW0011892,0.917688518,0.293501795,non significant
MW0012078,1.104908891,0.25744461,non significant
MW0012469,1.018378033,0.804303577,non significant
MW0012516,1.017497587,0.519271746,non significant
MW0012552,0.946787176,0.684505216,non significant
MW0012622,0.95808601,0.683267071,non significant
MW0012793,1.150704304,0.404423075,non significant
MW0012926,1.051153396,0.786545525,non significant
MW0013300,0.957591917,0.168828527,non significant
MW0013469,0.785667118,0.255914292,non significant
MW0013502,1.03859063,0.353685858,non significant
MW0013514,0.953684566,0.548490011,non significant
MW0013829,0.671512552,0.052616665,non significant
MW0014060,0.95861305,0.558297481,non significant
MW0014265,1.049993817,0.956053916,non significant
MW0014865,1.00411292,0.733601971,non significant
MW0014866,0.809313429,0.290626551,non significant
MW0015657,0.982146339,0.614482382,non significant
MW0016030,1.167386946,0.282260192,non significant
MW0017104,1.024621436,0.672392354,non significant
MW0052373,0.94442192,0.948387489,non significant
MW0053527,0.989609238,0.759430854,non significant
MW0053901,0.934960231,0.506097566,non significant
MW0054028,1.204388749,0.223307613,non significant
MW0054155,1.001145818,0.959740001,non significant
MW0054358,0.945585009,0.661702598,non significant
MW0054671,1.225778863,0.0827165,non significant
MW0054786,1.074770194,0.462494327,non significant
MW0054976,1.176500116,0.288312826,non significant
MW0055025,0.872065784,0.114109432,non significant
MW0055136,0.802471265,0.120702547,non significant
MW0055215,1.128245423,0.813463268,non significant
MW0055411,0.91665362,0.179367912,non significant
MW0055436,0.803342721,0.099717524,non significant
MW0055444,1.197302853,0.676568254,non significant
MW0055479,1.073863047,0.350583269,non significant
MW0061026,0.947018407,0.487437602,non significant
MW0062166,0.878284142,0.336450253,non significant
MW0062212,1.172768875,0.405893858,non significant
MW0062242,1.225775631,0.08215278,non significant
MW0062275,0.937593352,0.521789652,non significant
MW0063590,0.96973826,0.778273983,non significant
MW0063665,1.084159888,0.488086271,non significant
MW0063708,0.976986711,0.662576526,non significant
MW0102841,1.060314758,0.329663458,non significant
MW0102908,1.271038736,0.283262135,non significant
MW0103361,1.050212811,0.845138732,non significant
MW0104208,0.783525853,0.251170103,non significant
MW0104272,1.01393951,0.72705359,non significant
MW0104373,1.18403326,0.304768667,non significant
MW0104474,0.916945919,0.354502924,non significant
MW0105037,0.922380116,0.268695062,non significant
MW0105209,1.081203389,0.618664922,non significant
MW0105933,1.00440162,0.974235678,non significant
MW0106007,0.337947845,0.945487923,non significant
MW0107624,1.017123813,0.796895442,non significant
MW0107746,0.959527536,0.186170986,non significant
MW0108414,0.963986598,0.52096078,non significant
MW0108435,1.006425837,0.80401948,non significant
MW0109000,0.976943844,0.591664645,non significant
MW0109414,0.935446853,0.375263622,non significant
MW0109691,0.988198797,0.614482382,non significant
MW0109751,0.818969336,0.012910183,Lower in AD
MW0109785,1.05052576,0.92884369,non significant
MW0110009,0.890393711,0.774604413,non significant
MW0110487,0.962221008,0.872154466,non significant
MW0110742,1.269785479,0.005071856,Higher in AD
MW0111083,0.992595981,0.935047524,non significant
MW0111911,1.018625236,0.580598442,non significant
MW0112752,1.135435012,0.015345383,Higher in AD
MW0112859,0.979765391,0.212437576,non significant
MW0112918,0.995993913,0.900053646,non significant
MW0113261,1.06182982,0.84572169,non significant
MW0113283,1.181859524,0.518572071,non significant
MW0114282,0.616534991,0.009457274,Lower in AD
MW0114590,1.02649237,0.841320062,non significant
MW0115062,0.968913128,0.999782525,non significant
MW0115063,1.090129876,0.438895758,non significant
MW0117075,1.005805976,0.931893872,non significant
MW0117159,0.998224088,0.900629442,non significant
MW0117278,0.9976991,0.975040111,non significant
MW0119585,0.783256209,0.112736299,non significant
MW0120946,0.898592665,0.020454501,Lower in AD
MW0123240,0.989746553,0.600444824,non significant
MW0124205,0.981991421,0.755183742,non significant
MW0124439,0.920177794,0.311268863,non significant
MW0124804,0.628372727,0.011364873,Lower in AD
MW0125788,1.055829453,0.54636371,non significant
MW0126226,1.011364658,0.995368939,non significant
MW0126293,0.993593716,0.89464718,non significant
MW0126453,1.011907154,0.770875798,non significant
MW0126515,1.212958595,0.833141986,non significant
MW0126592,0.92766595,0.254979041,non significant
MW0126843,1.062404413,0.791448816,non significant
MW0127248,1.085324519,0.290626551,non significant
MW0129025,0.864537535,0.589150362,non significant
MW0129353,0.638531737,0.416743546,non significant
MW0133375,1.04239039,0.446970476,non significant
MW0136716,0.988439122,0.726007524,non significant
MW0137431,0.68245166,0.854233643,non significant
MW0137676,1.016081038,0.700263501,non significant
MW0138026,1.046607625,0.790752188,non significant
MW0138455,1.098271289,0.804826819,non significant
MW0138478,1.029912544,0.586317695,non significant
MW0139075,0.807742433,0.012910183,Lower in AD
MW0139396,0.95881197,0.932381301,non significant
MW0139445,0.925220819,0.322836523,non significant
MW0139667,1.013171207,0.767457676,non significant
MW0140262,1.052910449,0.548490011,non significant
MW0141286,0.952360275,0.329663458,non significant
MW0141401,1.001636842,0.985787899,non significant
MW0141409,0.903895226,0.09765309,non significant
MW0141493,1.003900191,0.974235678,non significant
MW0141511,1.076181878,0.941679875,non significant
MW0141512,0.991129816,0.957432223,non significant
MW0141675,1.267232218,0.213548058,non significant
MW0141934,1.037901067,0.57147727,non significant
MW0142027,0.837194587,0.136855311,non significant
MW0142145,0.783436733,0.012826863,Lower in AD
MW0142150,1.115850479,0.733601971,non significant
MW0142222,0.916871751,0.1998438,non significant
MW0142323,0.945411451,0.230203865,non significant
MW0142596,0.98250404,0.739269117,non significant
MW0142606,0.851062012,0.813463268,non significant
MW0142653,0.952032686,0.526991133,non significant
MW0142794,1.137002984,0.595760251,non significant
MW0143225,0.799962735,0.024686333,Lower in AD
MW0143248,0.969150976,0.45160961,non significant
MW0143259,0.974516397,0.517657893,non significant
MW0143459,1.121171364,0.289083905,non significant
MW0143559,0.950759156,0.358732122,non significant
MW0143603,1.002687082,0.974235678,non significant
MW0143686,0.99040074,0.803409297,non significant
MW0143809,0.96539105,0.287869957,non significant
MW0143925,0.963334812,0.501226537,non significant
MW0143996,0.823515211,0.012910183,Lower in AD
MW0144508,1.048810849,0.761132654,non significant
MW0145437,1.10060729,0.515986114,non significant
MW0145509,1.032910961,0.854233643,non significant
MW0145670,0.967005548,0.538012978,non significant
MW0146186,0.981620047,0.424030802,non significant
MW0146518,1.053695795,0.688305214,non significant
MW0146836,1.013981077,0.663502858,non significant
MW0147536,0.978080913,0.089264091,non significant
MW0147733,1.100012057,0.833567509,non significant
MW0148349,1.012560524,0.735351325,non significant
MW0148533,1.088197855,0.86368211,non significant
MW0148611,1.017136919,0.900053646,non significant
MW0149268,0.832238125,0.362444044,non significant
MW0149546,0.710542964,0.09923396,non significant
MW0150666,1.000484355,0.959943898,non significant
MW0151417,1.004555969,0.970851775,non significant
MW0151905,0.973250797,0.706221192,non significant
MW0151906,1.017199679,0.812489194,non significant
MW0151926,0.976276751,0.393517485,non significant
MW0152097,0.948577539,0.334125771,non significant
MW0152206,1.074866394,0.290626551,non significant
MW0152284,1.29532186,0.261278736,non significant
MW0152405,1.016742889,0.847567795,non significant
MW0152499,1.115390713,0.380545794,non significant
MW0152851,0.85942222,0.00538341,Lower in AD
MW0153068,0.927385509,0.991204076,non significant
MW0153318,1.001823077,0.9295985,non significant
MW0153324,1.022350339,0.646716162,non significant
MW0154670,0.969918505,0.615044053,non significant
MW0154983,0.91009109,0.159988862,non significant
MW0155305,1.009156778,0.763947743,non significant
MW0155360,0.980949666,0.863389218,non significant
MW0155841,1.027205969,0.970806707,non significant
MW0156900,0.99132735,0.495106624,non significant
MW0157368,0.971459604,0.72705359,non significant
MW0157398,0.869438762,0.016484508,Lower in AD
MW0157690,1.005594884,0.98735889,non significant
MW0158236,1.070456419,0.779183359,non significant
MW0158878,1.081438079,0.905788313,non significant
MW0159042,1.028282879,0.834509586,non significant
MW0159195,0.911534562,0.202385786,non significant
MW0160615,0.947708453,0.255914292,non significant
MW0161530,1.397890297,0.02460911,Higher in AD
MW0162175,1.017089039,0.730346052,non significant
MW0162981,0.951036462,0.298811463,non significant
MW0164178,0.946883627,0.420664409,non significant
MW0164379,1.772015728,0.042505524,Higher in AD
MW0168173,1.053481515,0.424906071,non significant
MW0168907,1.098243941,0.822148364,non significant
MW0170035,1.321807851,0.800664427,non significant
LIPID-N-0005,0.993008557,0.80401948,non significant
LIPID-N-0006,1.644611657,0.005071856,Higher in AD
LIPID-N-0010,1.166747764,0.280222116,non significant
LIPID-N-0012,1.269260871,0.336450253,non significant
LIPID-N-0013,1.206984864,0.336450253,non significant
LIPID-N-0015,1.07663032,0.548490011,non significant
LIPID-N-0016,0.867530971,0.253233578,non significant
LIPID-N-0026,0.808821676,0.595015967,non significant
LIPID-N-0032,0.98438675,0.774604413,non significant
LIPID-N-0056,1.291607388,0.914244601,non significant
LIPID-N-0062,1.127681857,0.490796075,non significant
LIPID-N-0067,0.9790709,0.615828685,non significant
LIPID-N-0071,1.044146626,0.763859988,non significant
LIPID-N-0072,1.003786571,0.99837407,non significant
LIPID-N-0073,1.025650857,0.676778417,non significant
LIPID-N-0074,0.998256629,0.80401948,non significant
LIPID-N-0075,0.984040789,0.683267071,non significant
LIPID-N-0079,0.886681041,0.090354951,non significant
LIPID-N-0082,1.234041483,0.774604413,non significant
LIPID-N-0084,1.082000876,0.963703869,non significant
LIPID-N-0086,1.07544976,0.6274497,non significant
LIPID-N-0090,1.018589872,0.886493051,non significant
LIPID-N-0091,1.102937287,0.730150298,non significant
LIPID-N-0094,1.151628632,0.863992038,non significant
LIPID-N-0095,0.986292723,0.955186905,non significant
LIPID-N-0098,1.086477744,0.637747213,non significant
LIPID-N-0099,1.149124011,0.53340213,non significant
LIPID-N-0100,1.01232519,0.824777083,non significant
LIPID-N-0102,1.085701129,0.905426599,non significant
LIPID-N-0104,0.966112202,0.732091297,non significant
LIPID-N-0105,0.949598717,0.441867521,non significant
LIPID-N-0108,0.955441535,0.371708133,non significant
LIPID-N-0109,0.952653159,0.346313862,non significant
LIPID-N-0110,0.817123746,0.016484508,Lower in AD
LIPID-N-0111,0.847424594,0.029442289,Lower in AD
LIPID-N-0112,0.908023698,0.066265844,non significant
LIPID-N-0119,1.00112648,0.807796099,non significant
LIPID-N-0122,0.989434661,0.957432223,non significant
LIPID-N-0124,1.057465098,0.676778417,non significant
LIPID-N-0127,0.894753038,0.142862724,non significant
