Metabolites,FC,FDR,sign
MEDN0745,0.947367703,0.52264914,non significant
MEDN0783,0.805803694,0.582120971,non significant
MEDN0818,1.064535407,0.400549442,non significant
MEDN0820,0.937080165,0.748630925,non significant
MEDN0826,1.386775756,0.313117711,non significant
MEDN0827,0.939206007,0.437150639,non significant
MEDN0843,0.950515052,0.496829061,non significant
MEDN1003,1.053500256,0.657958119,non significant
MEDN1005,0.99721761,0.963245386,non significant
MEDN1009,1.335746474,0.205972513,non significant
MEDN1012,1.071215416,0.341422029,non significant
MEDN1041,0.93077614,0.87314504,non significant
MEDN1052,1.124787584,0.437150639,non significant
MEDN1056,1.031429726,0.464225307,non significant
MEDN1064,1.197199318,0.482762587,non significant
MEDN1069,1.283759726,0.4634339,non significant
MEDN1077,1.458213741,0.487052461,non significant
MEDN1081,0.823647865,0.367353863,non significant
MEDN1104,2.180604763,0.739874156,non significant
MEDN1108,0.995661141,0.824572967,non significant
MEDN1112,1.028634035,0.767948169,non significant
MEDN1114,0.937080165,0.748630925,non significant
MEDN1121,0.950792573,0.499294304,non significant
MEDN1125,0.994061913,0.858982682,non significant
MEDN1126,1.617152732,0.203385085,non significant
MEDN1129,1.117901286,0.959643247,non significant
MEDN1141,2.180604763,0.739874156,non significant
MEDN1148,1.028634035,0.767948169,non significant
MEDN1200,0.780699002,0.727004068,non significant
MEDN1224,1.048705054,0.118454595,non significant
MEDN1226,1.064535407,0.400549442,non significant
MEDN1235,1.041402481,0.574917982,non significant
MEDN1246,0.941404771,0.119876706,non significant
MEDN1247,1.089811661,0.403831986,non significant
MEDN1264,1.21477378,0.485774999,non significant
MEDN1267,1.15119088,0.468584854,non significant
MEDN1269,0.955585313,0.512851389,non significant
MEDN1277,1.174580892,0.884162341,non significant
MEDN1283,1.190241494,0.721571758,non significant
MEDN1287,1.077368439,0.805618699,non significant
MEDN1311,0.800168742,0.314382921,non significant
MEDN1320,1.10321529,0.600920967,non significant
MEDN1329,1.840907257,0.311098684,non significant
MEDN1384,1.089453436,0.46704513,non significant
MEDN1400,0.985016035,0.890037597,non significant
MEDN1409,0.993164964,0.951112598,non significant
MEDN1410,0.995067581,0.908310924,non significant
MEDN1413,1.4544467,0.261877137,non significant
MEDN1417,0.930204651,0.772215767,non significant
MEDN1428,0.934737445,0.571085812,non significant
MEDN1475,0.951063895,0.515203951,non significant
MEDN1485,0.997280839,0.825399756,non significant
MEDN1496,1.107512408,0.696797909,non significant
MEDN1508,1.016793683,0.831663277,non significant
MEDN1518,1.004212831,0.944175889,non significant
MEDN1533,1.623921913,0.805618699,non significant
MEDN1534,0.937608655,0.655289023,non significant
MEDN1548,0.916531878,0.498221147,non significant
MEDN1554,0.983302546,0.923132352,non significant
MEDN1566,0.920422183,0.70161103,non significant
MEDN1597,0.925640056,0.121798164,non significant
MEDN1600,0.929223311,0.3298023,non significant
MEDN1613,1.038238955,0.657958119,non significant
MEDN1620,1.058685748,0.457121913,non significant
MEDN1643,0.960076904,0.582120971,non significant
MEDN1649,0.99466707,0.795191876,non significant
MEDN1656,0.993354388,0.922146881,non significant
MEDN1688,0.757475918,0.124446008,non significant
MEDN1690,1.102419896,0.711156424,non significant
MEDN1691,1.130171953,0.844256301,non significant
MEDN1709,0.966683738,0.949754646,non significant
MEDN1710,1.051977778,0.399543154,non significant
MEDP0002,0.935652089,0.477581215,non significant
MEDP0006,1.061331712,0.472258,non significant
MEDP0007,1.11069149,0.536705434,non significant
MEDP0009,0.973454492,0.727004068,non significant
MEDP0011,0.958659673,0.546663751,non significant
MEDP0012,1.125876686,0.551287873,non significant
MEDP0016,1.134017821,0.21431414,non significant
MEDP0020,0.946154083,0.582120971,non significant
MEDP0026,0.958529353,0.472258,non significant
MEDP0037,1.110996619,0.563557815,non significant
MEDP0039,1.168377431,0.056626973,non significant
MEDP0063,0.864378067,0.30257009,non significant
MEDP0066,0.934711606,0.512851389,non significant
MEDP0077,0.966573867,0.825399756,non significant
MEDP0078,0.966546691,0.831895731,non significant
MEDP0084,0.949726852,0.830216993,non significant
MEDP0086,0.996392374,0.968323096,non significant
MEDP0120,0.700997797,0.115772781,non significant
MEDP0125,1.071861894,0.516813342,non significant
MEDP0145,0.644575784,0.281421672,non significant
MEDP0146,0.968892487,0.599559098,non significant
MEDP0147,1.035345531,0.779005046,non significant
MEDP0148,0.783198953,0.309922123,non significant
MEDP0152,0.995440819,0.615932185,non significant
MEDP0154,1.076842002,0.045432993,Higher in MCI
MEDP0159,0.977398574,0.82995478,non significant
MEDP0165,0.934137531,0.739874156,non significant
MEDP0170,1.013428323,0.939030094,non significant
MEDP0174,1.004492373,0.972636417,non significant
MEDP0177,1.027572241,0.712846149,non significant
MEDP0178,1.057769943,0.636155863,non significant
MEDP0184,0.994860944,0.873375293,non significant
MEDP0242,1.678791336,0.649993783,non significant
MEDP0246,0.957803272,0.60745447,non significant
MEDP0250,0.648394908,0.77780654,non significant
MEDP0251,0.654738806,0.453847318,non significant
MEDP0277,1.041054395,0.995461802,non significant
MEDP0295,1.038318151,0.54879725,non significant
MEDP0296,1.029647799,0.782412973,non significant
MEDP0297,0.968902309,0.631592495,non significant
MEDP0299,0.993766692,0.810617954,non significant
MEDP0305,0.973326035,0.739874156,non significant
MEDP0307,0.912431433,0.606863407,non significant
MEDP0315,1.038627337,0.762780909,non significant
MEDP0318,1.077649082,0.309922123,non significant
MEDP0321,0.988285621,0.82755865,non significant
MEDP0325,0.995084877,0.845969351,non significant
MEDP0326,0.929632465,0.437150639,non significant
MEDP0336,0.987729872,0.964667158,non significant
MEDP0357,1.006702279,0.582120971,non significant
MEDP0380,1.077223048,0.255781923,non significant
MEDP0382,1.06785471,0.485774999,non significant
MEDP0384,1.067255776,0.510802476,non significant
MEDP0387,0.862876974,0.098473575,non significant
MEDP0389,1.033990069,0.268583145,non significant
MEDP0395,1.087319174,0.6273782,non significant
MEDP0401,1.103297703,0.274074705,non significant
MEDP0442,0.925322249,0.2102881,non significant
MEDP0453,0.968334898,0.599559098,non significant
MEDP0461,1.109873999,0.30257009,non significant
MEDP0518,1.0581395,0.888018784,non significant
MEDP0519,0.957744068,0.434247573,non significant
MEDP0529,1.04672853,0.551011009,non significant
MEDP0535,0.990725923,0.938887838,non significant
MEDP0545,0.957402887,0.617621911,non significant
MEDP0576,0.959782608,0.898393157,non significant
MEDP0598,0.985259706,0.82755865,non significant
MEDP0617,0.857073046,0.582120971,non significant
MEDP0627,1.298105704,0.750651053,non significant
MEDP0637,0.948516274,0.50343827,non significant
MEDP0658,1.011318713,0.867073656,non significant
MEDP0685,0.957570876,0.588083237,non significant
MEDP0792,0.953851327,0.421346022,non significant
MEDP0831,0.949726852,0.830216993,non significant
MEDP0881,1.020482153,0.468584854,non significant
MEDP0889,0.946168857,0.973640975,non significant
MEDP0891,0.970343039,0.921664232,non significant
MEDP0894,1.029910577,0.617621911,non significant
MEDP1002,0.96782069,0.73333133,non significant
MEDP1003,1.020580526,0.681204321,non significant
MEDP1020,1.57110858,0.068750638,non significant
MEDP1032,1.04385169,0.884032255,non significant
MEDP1033,0.996324621,0.908900151,non significant
MEDP1061,1.009208468,0.893127864,non significant
MEDP1062,0.969253977,0.803311939,non significant
MEDP1068,0.98910195,0.805618699,non significant
MEDP1072,1.109873999,0.30257009,non significant
MEDP1073,1.07481143,0.098473575,non significant
MEDP1077,0.998753313,0.681204321,non significant
MEDP1083,1.211050217,0.739874156,non significant
MEDP1096,0.918406361,0.331826565,non significant
MEDP1100,0.983489693,0.82755865,non significant
MEDP1127,0.99796183,0.948888508,non significant
MEDP1132,0.96782069,0.73333133,non significant
MEDP1144,0.973602654,0.739874156,non significant
MEDP1146,0.904281914,0.187334349,non significant
MEDP1161,0.984973165,0.923132352,non significant
MEDP1165,0.904281914,0.187334349,non significant
MEDP1171,1.074969886,0.767948169,non significant
MEDP1177,1.172561597,0.943283085,non significant
MEDP1178,1.037158152,0.664783725,non significant
MEDP1194,1.040730354,0.66569842,non significant
MEDP1196,1.075230007,0.624278963,non significant
MEDP1203,0.966878557,0.668401588,non significant
MEDP1211,1.00955045,0.830216993,non significant
MEDP1212,0.956586302,0.687957813,non significant
MEDP1221,0.96300692,0.289221192,non significant
MEDP1228,1.027262232,0.825399756,non significant
MEDP1234,1.617908973,0.07264289,non significant
MEDP1242,0.94711604,0.498221147,non significant
MEDP1243,1.386682325,0.399543154,non significant
MEDP1247,0.98991275,0.726512943,non significant
MEDP1251,1.121039898,0.30257009,non significant
MEDP1272,0.958222673,0.2333496,non significant
MEDP1273,0.955656226,0.485774999,non significant
MEDP1274,2.419673625,0.021821496,Higher in MCI
MEDP1298,0.917587181,0.546663751,non significant
MEDP1304,0.948144426,0.885771242,non significant
MEDP1331,1.051834241,0.547522847,non significant
MEDP1333,1.120581569,0.178324515,non significant
MEDP1343,0.932176049,0.615932185,non significant
MEDP1373,0.929324926,0.611300534,non significant
MEDP1394,0.991523167,0.886607376,non significant
MEDP1396,1.697002898,0.323855098,non significant
MEDP1400,1.227681531,0.040926218,Higher in MCI
MEDP1404,1.093084297,0.681204321,non significant
MEDP1408,1.193118301,0.709650999,non significant
MEDP1410,1.106938321,0.544662216,non significant
MEDP1415,1.18322827,0.231343061,non significant
MEDP1422,1.07390704,0.734156006,non significant
MEDP1431,1.032301,0.968323096,non significant
MEDP1432,1.065659246,0.884706664,non significant
MEDP1433,0.996995767,0.55169567,non significant
MEDP1434,1.007359458,0.92658412,non significant
MEDP1449,0.798660822,0.176450562,non significant
MEDP1450,0.798660822,0.176450562,non significant
MEDP1465,0.940259104,0.23031014,non significant
MEDP1472,1.216571108,0.779005046,non significant
MEDP1479,0.644575784,0.281421672,non significant
MEDP1488,1.05646038,0.427720652,non significant
MEDP1490,0.939604658,0.524098342,non significant
MEDP1493,1.012848125,0.813522801,non significant
MEDP1500,1.004183569,0.922861078,non significant
MEDP1506,0.88494428,0.417577454,non significant
MEDP1507,0.892623886,0.618696375,non significant
MEDP1508,1.005390126,0.916463738,non significant
MEDP1511,0.950265607,0.77780654,non significant
MEDP1512,0.951769853,0.571085812,non significant
MEDP1516,1.031796436,0.858982682,non significant
MEDP1604,0.973115458,0.331826565,non significant
MEDP1614,1.032625146,0.739874156,non significant
MEDP1644,1.044182634,0.494177573,non significant
MEDP1654,1.012848125,0.813522801,non significant
MEDP1655,0.871869882,0.82755865,non significant
MEDP1657,0.89068861,0.006109132,Lower in MCI
MEDP1658,0.95609358,0.551287873,non significant
MEDP1659,0.904281914,0.187334349,non significant
MEDP1662,0.963902619,0.546663751,non significant
MEDP1663,1.010677165,0.808210034,non significant
MEDP1667,1.032587931,0.547522847,non significant
MEDP1686,0.923180311,0.631826556,non significant
MEDP1693,0.809258459,0.834982225,non significant
MEDP1695,0.922271968,0.135967515,non significant
MEDP1698,0.921088975,0.30257009,non significant
MEDP1705,1.018799452,0.830216993,non significant
MEDP1706,1.004256054,0.925015576,non significant
MEDP1713,1.119982673,0.115772781,non significant
MEDP1717,1.002448688,0.925015576,non significant
MEDP1723,1.11278006,0.54879725,non significant
MEDP1744,1.006984986,0.779005046,non significant
MEDP1749,0.987035515,0.733234264,non significant
MEDP1750,0.980631236,0.816830487,non significant
MEDP1751,1.080049374,0.228455112,non significant
MEDP1762,0.965438986,0.957714943,non significant
MEDP1778,0.959748654,0.467496301,non significant
MEDP1779,0.955394757,0.837326244,non significant
MEDP1780,1.015954354,0.772215767,non significant
MEDP1786,1.23163145,0.068750638,non significant
MEDP1787,1.108243282,0.261877137,non significant
MEDP1788,1.025946484,0.289221192,non significant
MEDP1799,0.891831833,0.323855098,non significant
MEDP1802,1.070804498,0.840025999,non significant
MEDP1853,1.170971277,0.82995478,non significant
MEDP1860,0.969443186,0.805618699,non significant
MEDP1871,0.966863697,0.805618699,non significant
MEDP1884,0.940830857,0.631592495,non significant
MEDP1885,0.787696503,0.261877137,non significant
MEDP1897,1.511213468,0.516813342,non significant
MEDP1898,0.995877057,0.859534648,non significant
MEDP1913,1.025820233,0.858908209,non significant
MEDP1914,1.110860299,0.281421672,non significant
MEDP1915,1.081789592,0.508585082,non significant
MEDP1917,1.145934262,0.255781923,non significant
MEDP1919,0.867426534,0.309922123,non significant
MEDP1921,0.943825048,0.739874156,non significant
MEDP1923,0.962529484,0.615707104,non significant
MEDP1928,0.833141835,0.200249935,non significant
MEDP1929,0.996715806,0.968323096,non significant
MEDP1940,1.003963733,0.968323096,non significant
MEDP1942,0.785915936,0.968323096,non significant
MEDP1961,0.97301391,0.739874156,non significant
MEDP1973,1.045326898,0.87314504,non significant
MEDP1993,0.97435701,0.689478334,non significant
MEDP1996,1.115026974,0.065902032,non significant
MEDP2001,1.086905838,0.692518586,non significant
MEDP2003,1.082479928,0.66569842,non significant
MEDP2007,1.076126372,0.944175889,non significant
MEDP2017,1.061221338,0.44424655,non significant
MEDP2038,1.032048787,0.767948169,non significant
MW0001163,1.011976713,0.521013352,non significant
MW0001486,1.075651398,0.718868966,non significant
MW0001675,1.030592894,0.681204321,non significant
MW0002271,1.0128633,0.633468765,non significant
MW0002401,0.80491725,0.135967515,non significant
MW0002432,0.887755663,0.3298023,non significant
MW0002893,1.041447685,0.617621911,non significant
MW0003249,1.027693192,0.780921188,non significant
MW0003729,0.960406878,0.606062449,non significant
MW0004159,0.921991117,0.895488896,non significant
MW0006078,0.987351392,0.814487837,non significant
MW0006470,1.005576391,0.77780654,non significant
MW0006821,0.978752411,0.524238239,non significant
MW0006886,1.107809435,0.830216993,non significant
MW0007831,0.967690071,0.884032255,non significant
MW0008652,1.177626961,0.327345011,non significant
MW0009655,1.103203522,0.744419572,non significant
MW0009863,0.588396704,0.643379671,non significant
MW0010040,0.99608639,0.884032255,non significant
MW0011071,1.139483762,0.239147984,non significant
MW0011450,1.165129259,0.681204321,non significant
MW0011786,0.936309906,0.487645124,non significant
MW0011795,0.947881743,0.420776454,non significant
MW0011811,0.871136137,0.017119086,Lower in MCI
MW0011847,0.817382127,0.441551965,non significant
MW0011892,0.899103771,0.281421672,non significant
MW0012078,0.784821294,0.820552158,non significant
MW0012469,0.978149874,0.963245386,non significant
MW0012516,0.986788744,0.922146881,non significant
MW0012552,0.930821052,0.895962177,non significant
MW0012622,0.945008875,0.898393157,non significant
MW0012793,1.215219484,0.452199992,non significant
MW0012926,1.077420892,0.739874156,non significant
MW0013300,1.025428502,0.762780909,non significant
MW0013469,0.806782301,0.274074705,non significant
MW0013502,1.015298492,0.810617954,non significant
MW0013514,0.957942494,0.662517096,non significant
MW0013829,0.66092,0.038406457,Lower in MCI
MW0014060,0.980218409,0.892330381,non significant
MW0014265,1.054509321,0.83759522,non significant
MW0014865,0.90463489,0.805618699,non significant
MW0014866,0.916639073,0.582120971,non significant
MW0015657,0.962402851,0.379087677,non significant
MW0016030,1.03753423,0.740418165,non significant
MW0017104,1.035383497,0.615932185,non significant
MW0052373,0.948917149,0.945830717,non significant
MW0053527,1.022112819,0.698180912,non significant
MW0053901,0.890910527,0.399543154,non significant
MW0054028,1.053887768,0.614878286,non significant
MW0054155,1.033780388,0.451092496,non significant
MW0054358,0.999576775,0.995259541,non significant
MW0054671,1.108431693,0.46704513,non significant
MW0054786,1.064934828,0.4634339,non significant
MW0054976,1.079770833,0.712846149,non significant
MW0055025,0.856215357,0.121385476,non significant
MW0055136,0.907381926,0.758453942,non significant
MW0055215,1.129497537,0.695551,non significant
MW0055411,0.943480284,0.429564557,non significant
MW0055436,0.848670426,0.298865389,non significant
MW0055444,1.160773655,0.788449183,non significant
MW0055479,1.032400305,0.895831138,non significant
MW0061026,1.020492283,0.803359302,non significant
MW0062166,0.837916373,0.225413766,non significant
MW0062212,1.073226876,0.884032255,non significant
MW0062242,1.184637864,0.050619391,non significant
MW0062275,0.89512251,0.374155185,non significant
MW0063590,0.966153785,0.82755865,non significant
MW0063665,1.036863176,0.825399756,non significant
MW0063708,1.031582989,0.803311939,non significant
MW0102841,1.110998234,0.121798164,non significant
MW0102908,0.994662331,0.681204321,non significant
MW0103361,1.025186859,0.77780654,non significant
MW0104208,0.811908872,0.318999671,non significant
MW0104272,1.020734044,0.761081186,non significant
MW0104373,0.952533104,0.898393157,non significant
MW0104474,0.953198282,0.709650999,non significant
MW0105037,0.918295692,0.286100917,non significant
MW0105209,1.113570917,0.849211764,non significant
MW0105933,1.017635242,0.603378054,non significant
MW0106007,0.267506642,0.823585144,non significant
MW0107624,0.989497717,0.974106087,non significant
MW0107746,0.990839591,0.830216993,non significant
MW0108414,0.918665514,0.120095668,non significant
MW0108435,1.031568117,0.437150639,non significant
MW0109000,0.995425362,0.924330665,non significant
MW0109414,0.949674659,0.555810204,non significant
MW0109691,0.99708204,0.946608272,non significant
MW0109751,0.875487789,0.1164953,non significant
MW0109785,1.085337384,0.509433533,non significant
MW0110009,1.584140186,0.54879725,non significant
MW0110487,0.915404477,0.506948364,non significant
MW0110742,1.142655129,0.139023892,non significant
MW0111083,0.999778776,0.830216993,non significant
MW0111911,1.011872916,0.773237717,non significant
MW0112752,1.09079123,0.077231984,non significant
MW0112859,0.982261712,0.313117711,non significant
MW0112918,0.988307305,0.734156006,non significant
MW0113261,0.950940132,0.896661726,non significant
MW0113283,0.842737181,0.429564557,non significant
MW0114282,0.750610117,0.1062486,non significant
MW0114590,1.077813321,0.39413121,non significant
MW0115062,0.650539558,0.161504947,non significant
MW0115063,1.031348965,0.608631919,non significant
MW0117075,1.103978425,0.725512976,non significant
MW0117159,1.006302436,0.946827423,non significant
MW0117278,1.021671632,0.709650999,non significant
MW0119585,0.874599321,0.323855098,non significant
MW0120946,0.956524313,0.434247573,non significant
MW0123240,0.968824812,0.534112137,non significant
MW0124205,1.092428215,0.322374267,non significant
MW0124439,0.988105858,0.750973137,non significant
MW0124804,0.747390506,0.103064265,non significant
MW0125788,1.06166836,0.401146668,non significant
MW0126226,0.949516046,0.834982225,non significant
MW0126293,1.005441289,0.830216993,non significant
MW0126453,1.012787943,0.82755865,non significant
MW0126515,1.076273272,0.81414227,non significant
MW0126592,0.902573173,0.175919949,non significant
MW0126843,1.12785631,0.309922123,non significant
MW0127248,1.074318532,0.372474508,non significant
MW0129025,0.726319845,0.831663277,non significant
MW0129353,0.558055905,0.437302064,non significant
MW0133375,0.961421683,0.81414227,non significant
MW0136716,0.97821887,0.588814065,non significant
MW0137431,0.714537979,0.769581458,non significant
MW0137676,1.048126126,0.411820063,non significant
MW0138026,0.92137859,0.82755865,non significant
MW0138455,1.091121962,0.772815843,non significant
MW0138478,0.994786405,0.834982225,non significant
MW0139075,0.871916814,0.085036921,non significant
MW0139396,1.002102146,0.973640975,non significant
MW0139445,0.954144479,0.66569842,non significant
MW0139667,1.078790168,0.261877137,non significant
MW0140262,1.065198131,0.574855892,non significant
MW0141286,0.952949981,0.593504204,non significant
MW0141401,1.091422329,0.498221147,non significant
MW0141409,0.88999591,0.28500048,non significant
MW0141493,0.97630662,0.712846149,non significant
MW0141511,1.112679202,0.741949381,non significant
MW0141512,0.996615029,0.830216993,non significant
MW0141675,1.264865702,0.437302064,non significant
MW0141934,1.169913381,0.016723884,Higher in MCI
MW0142027,0.91769034,0.66569842,non significant
MW0142145,0.803962054,0.017119086,Lower in MCI
MW0142150,1.033810206,0.924538814,non significant
MW0142222,0.943403012,0.46704513,non significant
MW0142323,0.953733033,0.375535869,non significant
MW0142596,0.982548115,0.783364773,non significant
MW0142606,0.858931825,0.617621911,non significant
MW0142653,0.900263321,0.31354675,non significant
MW0142794,1.013431917,0.905425483,non significant
MW0143225,0.844623558,0.1164953,non significant
MW0143248,1.014111282,0.744419572,non significant
MW0143259,0.954621024,0.286100917,non significant
MW0143459,1.164245875,0.184281116,non significant
MW0143559,1.001523611,0.884032255,non significant
MW0143603,1.007009763,0.941914259,non significant
MW0143686,1.058198885,0.633137903,non significant
MW0143809,0.992557773,0.750074168,non significant
MW0143925,0.963632675,0.599559098,non significant
MW0143996,0.844154131,0.02634631,Lower in MCI
MW0144508,1.136599855,0.07532334,non significant
MW0145437,0.818596367,0.831663277,non significant
MW0145509,1.08493397,0.310652169,non significant
MW0145670,0.93863665,0.468584854,non significant
MW0146186,1.089338015,0.761297524,non significant
MW0146518,0.997269481,0.876435613,non significant
MW0146836,0.997898599,0.980258366,non significant
MW0147536,0.998039414,0.908310924,non significant
MW0147733,1.035371948,0.594270522,non significant
MW0148349,1.010572747,0.830216993,non significant
MW0148533,1.075436934,0.736860635,non significant
MW0148611,1.049073439,0.636155863,non significant
MW0149268,0.837038275,0.323855098,non significant
MW0149546,0.86466262,0.66569842,non significant
MW0150666,0.9755933,0.4634339,non significant
MW0151417,0.971791668,0.645873595,non significant
MW0151905,1.015564388,0.823585144,non significant
MW0151906,1.09660031,0.66569842,non significant
MW0151926,1.011893707,0.788449183,non significant
MW0152097,0.937625441,0.331826565,non significant
MW0152206,1.120624752,0.112743407,non significant
MW0152284,1.095772227,0.617621911,non significant
MW0152405,1.079283428,0.721571758,non significant
MW0152499,1.160081821,0.255781923,non significant
MW0152851,0.889453263,0.030174899,Lower in MCI
MW0153068,0.86439397,0.427720652,non significant
MW0153318,0.976188987,0.400549442,non significant
MW0153324,1.016743255,0.77780654,non significant
MW0154670,0.956662444,0.54879725,non significant
MW0154983,0.933237533,0.363317797,non significant
MW0155305,1.048526356,0.451092496,non significant
MW0155360,0.968435294,0.691695623,non significant
MW0155841,1.125648212,0.379087677,non significant
MW0156900,1.195478894,0.750651053,non significant
MW0157368,1.024663377,0.884032255,non significant
MW0157398,0.893757202,0.060320531,non significant
MW0157690,1.102583079,0.290254977,non significant
MW0158236,1.141036113,0.275646563,non significant
MW0158878,1.171756431,0.472258,non significant
MW0159042,1.079082429,0.331826565,non significant
MW0159195,0.883112525,0.08992902,non significant
MW0160615,0.942443388,0.255813657,non significant
MW0161530,0.96710536,0.810479088,non significant
MW0162175,0.992712127,0.924538814,non significant
MW0162981,0.994795184,0.962813104,non significant
MW0164178,0.953805388,0.593504204,non significant
MW0164379,1.014663723,0.947024241,non significant
MW0168173,1.025197734,0.563557815,non significant
MW0168907,1.076563745,0.82755865,non significant
MW0170035,0.911865824,0.810479088,non significant
LIPID-N-0005,0.979154063,0.659114069,non significant
LIPID-N-0006,1.490132079,0.547572714,non significant
LIPID-N-0010,1.239666456,0.914312548,non significant
LIPID-N-0012,0.970249113,0.775678407,non significant
LIPID-N-0013,0.898713923,0.739874156,non significant
LIPID-N-0015,0.991907723,0.810479088,non significant
LIPID-N-0016,0.90705883,0.318999671,non significant
LIPID-N-0026,0.772435628,0.30988763,non significant
LIPID-N-0032,0.928297278,0.119876706,non significant
LIPID-N-0056,0.911295419,0.617621911,non significant
LIPID-N-0062,1.286540381,0.115772781,non significant
LIPID-N-0067,1.023906154,0.709650999,non significant
LIPID-N-0071,0.97761737,0.834982225,non significant
LIPID-N-0072,0.975302734,0.662517096,non significant
LIPID-N-0073,1.003589764,0.945830717,non significant
LIPID-N-0074,0.999880665,0.913938024,non significant
LIPID-N-0075,0.98916682,0.836442628,non significant
LIPID-N-0079,0.915275819,0.323855098,non significant
LIPID-N-0082,1.022426614,0.399543154,non significant
LIPID-N-0084,1.032960595,0.97337785,non significant
LIPID-N-0086,1.042475477,0.582120971,non significant
LIPID-N-0090,0.995905258,0.906392122,non significant
LIPID-N-0091,1.010447405,0.830216993,non significant
LIPID-N-0094,1.159375922,0.66569842,non significant
LIPID-N-0095,1.004445762,0.746304402,non significant
LIPID-N-0098,1.089758796,0.606062449,non significant
LIPID-N-0099,1.076186168,0.599559098,non significant
LIPID-N-0100,0.967438351,0.65059077,non significant
LIPID-N-0102,1.030745665,0.898393157,non significant
LIPID-N-0104,0.963620348,0.739874156,non significant
LIPID-N-0105,0.934814864,0.412892912,non significant
LIPID-N-0108,0.926596462,0.133700652,non significant
LIPID-N-0109,0.925802477,0.126987246,non significant
LIPID-N-0110,0.875763385,0.115911516,non significant
LIPID-N-0111,0.858335773,0.039123483,Lower in MCI
LIPID-N-0112,0.890247877,0.020844399,Lower in MCI
LIPID-N-0119,0.979938142,0.963245386,non significant
LIPID-N-0122,0.956383059,0.651692826,non significant
LIPID-N-0124,1.039600939,0.995461802,non significant
LIPID-N-0127,0.851320081,0.032549372,Lower in MCI
LIPID-N-0129,0.909931482,0.393991719,non significant
LIPID-N-0131,1.052763943,0.884032255,non significant
LIPID-N-0132,0.995950938,0.830216993,non significant
LIPID-N-0134,1.076864651,0.52264914,non significant
LIPID-N-0136,1.207808193,0.830216993,non significant
